Massy,39821,48.72N,2.27E
Maubeuge,33322,50.28N,3.95E
Mauguio,21335,43.62N,4.01E
Maurepas,21035,48.76N,1.90E
Mayenne,16685,48.31N,0.62W
Mazamet,11614,43.49N,2.36E
Meaux,57175,48.96N,2.88E
Melun,41251,48.54N,2.65E
Mende,16171,44.52N,3.48E
Mennecy,16504,48.56N,2.41E
Menton,30207,43.79N,7.48E
Mericourt,11361,50.40N,2.86E
Merignac,74995,44.87N,0.65W
Meru,14122,49.24N,2.13E
Mery-sur-Oise,10073,49.07N,2.20E
Metz,121576,49.12N,6.18E
Meudon,45559,48.82N,2.24E
Meylan,21292,45.22N,5.75E
Meyzieu,29431,45.78N,4.97E
Millau,24116,44.11N,3.07E
Mions,12396,45.66N,4.95E
Miramas,25425,43.59N,4.99E
Miribel,9884,45.82N,4.95E
Mitry-Mory,20337,48.98N,2.61E
Moissac,14507,44.11N,1.08E
Moissy-Cramayel,18313,48.62N,2.59E
Molsheim,10301,48.53N,7.49E
Mondeville,12314,49.17N,0.29W
Mons-en-Baroeul,22861,50.63N,3.11E
Montargis,18453,48.01N,2.73E
Montataire,11935,49.26N,2.43E
Montauban,50438,44.02N,1.35E
Montbeliard,28972,47.52N,6.82E
Montbrison,17050,45.61N,4.05E
Montceau-les-Mines,19336,46.68N,4.36E
Mont-de-Marsan,39524,43.90N,0.51W
Montelimar,38029,44.57N,4.74E
Montereau-Fault-Yonne,17991,48.39N,2.95E
Montesson,16785,48.91N,2.14E
Monteux,11914,44.03N,5.00E
Montfermeil,23873,48.90N,2.55E
Montgeron,23839,48.70N,2.44E
Montigny-en-Gohelle,10762,50.44N,2.94E
Montigny-le-Bretonneux,42963,48.76N,2.03E
Montigny-les-Cormeilles,18685,48.99N,2.20E
Montigny-les-Metz,28092,49.10N,6.15E
Montivilliers,16475,49.55N,0.19E
Montlouis-sur-Loire,10458,47.38N,0.83E
Montlucon,45529,46.34N,2.58E
Montmagny,16374,48.96N,2.35E
Montmorency,21775,48.98N,2.31E
Montpellier,260562,43.61N,3.87E
Montreuil,91598,48.86N,2.43E
Montrouge,39907,48.81N,2.32E
Mont-Saint-Aignan,24062,49.46N,1.08E
Morangis,12152,48.70N,2.33E
Morlaix,18242,48.58N,3.84W
Morsang-sur-Orge,20605,48.67N,2.34E
Mouans-Sartoux,9673,43.62N,6.97E
Mougins,21796,43.61N,6.98E
Moulins,23365,46.57N,3.33E
Mouvaux,13218,50.70N,3.13E
Mulhouse,110562,47.76N,7.34E
Muret,27590,43.47N,1.31E
Nancy,105116,48.69N,6.17E
Nanterre,88261,48.90N,2.20E
Nantes,281394,47.23N,1.57W
Narbonne,52756,43.19N,2.90E
Nemours,14981,48.27N,2.68E
Neuilly-Plaisance,19390,48.86N,2.51E
Neuilly-sur-Marne,36442,48.85N,2.52E
Neuilly-sur-Seine,62736,48.89N,2.27E
Neuville-en-Ferrain,9331,50.75N,3.15E
Nevers,44596,47.00N,3.15E
Nice,331397,43.70N,7.27E
Nîmes,154929,43.84N,4.35E
Niort,51304,46.32N,0.47W
Noeux-les-Mines,11868,50.48N,2.66E
Nogent-le-Rotrou,13763,48.33N,0.82E
Nogent-sur-Marne,34395,48.84N,2.47E
Nogent-sur-Oise,19757,49.28N,2.46E
Noisiel,15361,48.85N,2.63E
Noisy-le-Grand,66613,48.85N,2.55E
Noisy-le-Sec,40903,48.89N,2.46E
Noyon,15398,49.58N,3.00E
Obernai,13044,48.47N,7.49E
Octeville,15683,49.61N,1.65W
Oignies,10613,50.47N,2.99E
Oissel,11537,49.35N,1.10E
Olivet,24716,47.86N,1.90E
Ollioules,15534,43.14N,5.85E
Olonne-sur-Mer,11819,46.53N,1.78W
Oloron-Sainte-Marie,13254,43.19N,0.62W
Onet-le-Chataeu,12416,44.39N,2.54E
Orange,32236,44.15N,4.81E
Orleans,131669,47.90N,1.90E
Orly,20683,48.74N,2.39E
Ormesson-sur-Marne,10136,48.79N,2.54E
Orsay,19414,48.70N,2.18E
Orthez,12562,43.50N,0.78W
Orvault,26690,47.27N,1.62W
Osny,18788,49.07N,2.06E
Ostwald,11569,48.55N,7.72E
Oullins,25598,45.72N,4.80E
Outreau,15803,50.71N,1.58E
Oyonnax,26523,46.27N,5.64E
Ozoir-la-Ferriere,24432,48.77N,2.67E
Palaiseau,34138,48.73N,2.25E
Pamier,18803,43.12N,1.62E
Panazol,10372,45.83N,1.30E
Pantin,56350,48.90N,2.41E
Paray-le-Monial,9818,46.45N,4.11E
Paris,2187534,48.86N,2.34E
Parthenay,12007,46.65N,0.26W
Passy,12624,45.93N,6.68E
Pau,83927,43.30N,0.39W
Pelissanne,9422,43.63N,5.15E
Perigueux,36630,45.18N,0.71E
